Trial,Response,PMF_Max_Name,PMF_Min_Name,PMF_Prediction,DU_Max_Name,DU_Min_Name,DU_Prediction,BT_Max_Name,BT_Min_Name,BT_Prediction
1,2_2_,2_2_,1_3_,1.5,1_3_,2_2_,1.3333333333333333,2_2_,1_3_,1.6
1,1_3_,2_2_,1_3_,-1.5,1_3_,2_2_,-1.3333333333333333,2_2_,1_3_,-1.6
2,3_5_,4_4_,3_5_,1.25,3_5_,4_4_,1.6,4_4_,3_5_,1.376344086021505
2,4_4_,4_4_,3_5_,-1.25,3_5_,4_4_,-1.6,4_4_,3_5_,-1.376344086021505
3,8_8_,8_8_,7_9_,1.1250000000000004,7_9_,8_8_,1.777777777777777,8_8_,7_9_,1.2443701819010364
3,7_9_,8_8_,7_9_,-1.1250000000000004,7_9_,8_8_,-1.777777777777777,8_8_,7_9_,-1.2443701819010364
4,0_4_,2_2_,0_4_,6.000000000000002,2_2_,0_4_,3.000000000000001,2_2_,0_4_,8.0
4,2_2_,2_2_,0_4_,-6.000000000000002,2_2_,0_4_,-3.000000000000001,2_2_,0_4_,-8.0
5,4_4_,4_4_,2_6_,2.5000000000000004,4_4_,2_6_,1.2500000000000002,4_4_,2_6_,3.459459459459461
5,2_6_,4_4_,2_6_,-2.5000000000000004,4_4_,2_6_,-1.2500000000000002,4_4_,2_6_,-3.459459459459461
6,6_10_,8_8_,6_10_,1.6071428571428565,6_10_,8_8_,1.244444444444445,8_8_,6_10_,2.2002282951722285
6,8_8_,8_8_,6_10_,-1.6071428571428565,6_10_,8_8_,-1.244444444444445,8_8_,6_10_,-2.2002282951722285
7,1_3_,1_3_,0_4_,4.000000000000001,1_3_,0_4_,4.000000000000001,1_3_,0_4_,5.0
7,0_4_,1_3_,0_4_,-4.000000000000001,1_3_,0_4_,-4.000000000000001,1_3_,0_4_,-5.0
8,1_7_,2_6_,1_7_,3.5,2_6_,1_7_,3.5,2_6_,1_7_,4.11111111111111
8,2_6_,2_6_,1_7_,-3.5,2_6_,1_7_,-3.5,2_6_,1_7_,-4.11111111111111
9,4_12_,4_12_,3_13_,3.2499999999999982,4_12_,3_13_,3.2499999999999982,4_12_,3_13_,3.611190817790531
9,3_13_,4_12_,3_13_,-3.2499999999999982,4_12_,3_13_,-3.2499999999999982,4_12_,3_13_,-3.611190817790531
10,0_8_,2_6_,0_8_,28.000000000000007,2_6_,0_8_,28.000000000000007,2_6_,0_8_,36.999999999999986
10,2_6_,2_6_,0_8_,-28.000000000000007,2_6_,0_8_,-28.000000000000007,2_6_,0_8_,-36.999999999999986
11,4_12_,4_12_,2_14_,15.166666666666698,4_12_,2_14_,15.166666666666698,4_12_,2_14_,18.372262773722632
11,2_14_,4_12_,2_14_,-15.166666666666698,4_12_,2_14_,-15.166666666666698,4_12_,2_14_,-18.372262773722632
12,2_6_,3_5_,2_6_,2.0000000000000004,3_5_,2_6_,2.0000000000000004,3_5_,2_6_,2.5135135135135154
12,3_5_,3_5_,2_6_,-2.0000000000000004,3_5_,2_6_,-2.0000000000000004,3_5_,2_6_,-2.5135135135135154
13,9_7_,6_10_,9_7_,1.1748251748251743,6_10_,9_7_,1.1748251748251743,9_7_,6_10_,1.0659407383419688
13,6_10_,6_10_,9_7_,-1.1748251748251743,6_10_,9_7_,-1.1748251748251743,9_7_,6_10_,-1.0659407383419688
14,2_14_,9_7_,2_14_,95.3333333333332,9_7_,2_14_,95.3333333333332,9_7_,2_14_,192.2116788321169
14,9_7_,9_7_,2_14_,-95.3333333333332,9_7_,2_14_,-95.3333333333332,9_7_,2_14_,-192.2116788321169
15,10_6_,10_6_,5_11_,1.8333333333333328,10_6_,5_11_,1.8333333333333328,10_6_,5_11_,2.1631082062454623
15,5_11_,10_6_,5_11_,-1.8333333333333328,10_6_,5_11_,-1.8333333333333328,10_6_,5_11_,-2.1631082062454623
