UniqueId,Version,Training,Failed,Condition,Trial,Response,Recording,Comments
082118_CaraCara_384,EC,1b3y,1,B,2,3b5y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,4,2b2y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,12,2b6y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,9,3b13y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,11,2b14y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,13,9b7y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,5,4b4y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,15,10b6y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,3,7b9y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,8,1b7y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,7,1b3y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,14,2b14y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,10,2b6y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,6,6b10y,321,NA
082118_CaraCara_384,EC,1b3y,1,B,1,1b3y,321,NA
082118_CaraCara_385,EC,1b3y,2,Y,14,9y7b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,11,2y14b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,9,3y13b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,10,2y6b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,15,5y11b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,4,2y2b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,1,1y3b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,8,2y6b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,3,7y9b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,13,6y10b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,12,3y5b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,2,4y4b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,6,8y8b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,5,2y6b,322,NA
082118_CaraCara_385,EC,1b3y,2,Y,7,1y3b,322,NA
082118_CaraCara_386,EC,3b1y,0,B,5,2b6y,323,NA
082118_CaraCara_386,EC,3b1y,0,B,13,9b7y,323,NA
082118_CaraCara_386,EC,3b1y,0,B,3,7b9y,323,NA
082118_CaraCara_386,EC,3b1y,0,B,12,3b5y,323,NA
082118_CaraCara_386,EC,3b1y,0,B,14,9b7y,323,NA
082118_CaraCara_386,EC,3b1y,0,B,7,1b3y,323,NA
082118_CaraCara_386,EC,3b1y,0,B,15,10b6y,323,NA
082118_CaraCara_386,EC,3b1y,0,B,8,2b6y,323,NA
